Calm : Serene, Tranquil, Peaceful
Sharp : Keen, Acute, Pointed
Thick : Chunky, Heavy, Dense
Ugly : Unpleasant, Hideous, Unattractive
New : Modern, Recent, Fresh
Serious : Intense, Grave, Solemn
Soft : Tender, Smooth, Gentle
Tired : Weary, Fatigued, Exhausted
Loyal : Trustworthy, Devoted, Faithful
Friendly : Warm, Kind, Amiable
Slow : Unhurried, Leisurely, Sluggish
Angry : Annoyed, Mad, Furious
Clean : Neat, Spotless, Tidy
Complex : Detailed, Intricate, Complicated
Smart : Bright, Clever, Intelligent
Good : Superior, Great, Excellent
Cold : Icy, Freezing, Chilly
Big : Massive, Huge, Large
Heavy : Dense, Massive, Weighty
Warm : Toasty, Heated, Cozy
Poor : Impoverished, Destitute, Needy
Difficult : Tough, Challenging, Hard
Young : Fresh, Juvenile, Youthful
Short : Tiny, Compact, Petite
Busy : Active, Engaged, Occupied
Easy : Uncomplicated, Effortless, Simple
Unlucky : Doomed, Jinxed, Unfortunate
Strong : Mighty, Robust, Sturdy, Powerful
Mean : Unkind, Harsh, Cruel
Rich : Prosperous, Affluent, Wealthy
Cheap : Low-cost, Inexpensive, Affordable
Rude : Harsh, Disrespectful, Impolite
Hardworking : Determined, Industrious, Diligent
Cool : Crisp, Refreshing, Chilly
Unfriendly : Aloof, Cold, Hostile
Thin : Slender, Skinny, Slim
Simple : Plain, Basic, Easy
Messy : Disorganized, Cluttered, Untidy
Sad : Sorrowful, Miserable, Unhappy, Melancholy
Tall : High, Elevated, Towering
Pretty : Gorgeous, Attractive, Beautiful
Happy : Content, Cheerful, Joyful
Hard : Firm, Tough, Rigid
Old : Antique, Elderly, Aged, Ancient
Full : Packed, Stuffed, Satisfied
Funny : Entertaining, Amusing, Hilarious
Free : Open, Unoccupied, Available
Energetic : Vibrant, Active, Lively, Dynamic
Hungry : Famished, Ravenous, Starving
False : Incorrect, Untrue, Fake
Hot : Scorching, Boiling, Warm
Expensive : Valuable, Pricey, Costly
Safe : Guarded, Protected, Secure
Hate : Detest, Loathe, Despise
Polite : Mannerly, Respectful, Courteous
Dull : Lifeless, Boring, Blunt
Bad : Horrible, Awful, Terrible
Dumb : Unintelligent, Foolish, Stupid
Fast : Rapid, Speedy, Quick
Lucky : Serendipitous, Blessed, Fortunate
Small : Miniature, Petite, Tiny
Dark : Gloomy, Shadowy, Dim
Weak : Brittle, Fragile, Delicate, Frail, Feeble
Neat : Tidy, Orderly, Organized
Brave : Bold, Fearless, Courageous
Quiet : Muted, Hushed, Silent
Scared : Terrified, Frightened, Afraid
Loud : Thunderous, Deafening, Noisy
Light : Buoyant, Weightless, Airy
Disloyal : Untrustworthy, Betraying, Unfaithful
Bright : Radiant, Luminous, Shiny
Lazy : Inactive, Idle, Sluggish
True : Authentic, Genuine, Real
Love : Treasure, Cherish, Adore
Dangerous : Perilous, Hazardous, Risky
Dirty : Unclean, Filthy, Messy
Kind : Thoughtful, Generous, Compassionate
