energetic : Dynamic, Lively, Active, Vibrant
friendly : Amiable, Kind, Warm
dumb : Stupid, Foolish, Unintelligent
bad : Terrible, Awful, Horrible
fast : Quick, Speedy, Rapid
lucky : Fortunate, Blessed, Serendipitous
dark : Dim, Shadowy, Gloomy
weak : Feeble, Frail, Delicate, Fragile, Brittle
small : Tiny, Petite, Miniature
neat : Organized, Orderly, Tidy
hungry : Starving, Ravenous, Famished
brave : Courageous, Fearless, Bold
loud : Noisy, Deafening, Thunderous
quiet : Silent, Hushed, Muted
polite : Courteous, Respectful, Mannerly
light : Airy, Weightless, Buoyant
unfriendly : Hostile, Cold, Aloof
true : Real, Genuine, Authentic
lazy : Sluggish, Idle, Inactive
love : Adore, Cherish, Treasure
dirty : Messy, Filthy, Unclean
kind : Compassionate, Generous, Thoughtful
calm : Peaceful, Tranquil, Serene
sharp : Pointed, Acute, Keen
ugly : Unattractive, Hideous, Unpleasant
thick : Dense, Heavy, Chunky
scared : Afraid, Frightened, Terrified
soft : Gentle, Smooth, Tender
new : Fresh, Recent, Modern
tired : Exhausted, Fatigued, Weary
loyal : Faithful, Devoted, Trustworthy
serious : Solemn, Grave, Intense
slow : Sluggish, Leisurely, Unhurried
angry : Furious, Mad, Annoyed
clean : Tidy, Spotless, Neat
disloyal : Unfaithful, Betraying, Untrustworthy
smart : Intelligent, Clever, Bright
good : Excellent, Great, Superior
hardworking : Diligent, Industrious, Determined
cold : Chilly, Freezing, Icy
warm : Cozy, Heated, Toasty
poor : Needy, Destitute, Impoverished
heavy : Weighty, Massive, Dense
big : Large, Huge, Massive
young : Youthful, Juvenile, Fresh
busy : Occupied, Engaged, Active
short : Petite, Compact, Tiny
easy : Simple, Effortless, Uncomplicated
mean : Cruel, Harsh, Unkind
rich : Wealthy, Affluent, Prosperous
difficult : Hard, Challenging, Tough
expensive : Costly, Pricey, Valuable
cheap : Affordable, Inexpensive, Low-cost
rude : Impolite, Disrespectful, Harsh
unlucky : Unfortunate, Jinxed, Doomed
bright : Shiny, Luminous, Radiant
cool : Chilly, Refreshing, Crisp
thin : Slim, Skinny, Slender
strong : Powerful, Sturdy, Robust, Mighty
messy : Untidy, Cluttered, Disorganized
tall : Towering, Elevated, High
sad : Unhappy, Miserable, Sorrowful
hard : Rigid, Tough, Firm
happy : Joyful, Cheerful, Content
full : Satisfied, Stuffed, Packed
old : Ancient, Aged, Elderly, Antique
funny : Hilarious, Amusing, Entertaining
free : Available, Unoccupied, Open
dangerous : Risky, Hazardous, Perilous
complex : Complicated, Intricate, Detailed
simple : Easy, Basic, Plain
safe : Secure, Protected, Guarded
false : Fake, Untrue, Incorrect
hot : Warm, Boiling, Scorching
pretty : Beautiful, Attractive, Gorgeous
hate : Despise, Loathe, Detest
dull : Blunt, Boring, Lifeless
